id,context
1,"This is an action Western. James Steart leads an all star cast in the scenic Northwest, which is filmed in great splendor. The scenery and costumes are great."
2,This is the worst sequel on the face of the world of movies. Once again it doesn't make since. The killer still kills for fun.
3,"Ah, Channel 5 of local Mexican t.v. Everyday, at 2:00 a.m. they air Horror movies from the 70's to early 2000's. It was ""Return To Cabin By The Lake"" the movie that aired yesterday."
4,"Preposterous sequel stretches credibility to a great degree as diabolical sociopath Stanley Kaldwell returns this time infiltrating the movie production of the novel he wrote for the garden drownings, assuming the identity of a second unit director he murdered. Film pokes gleeful fun at Hollywood, with a tongue-in-cheek script taking shots at tyrannical directors who sleep with their actresses(..looking for a way up the ladder)and dislike anyone challenging them for complete spotlight. Brian Krause, who I thought was dreadful, overacting to the point where the satire felt incredibly forced, portrays the loud, temperamental director who doesn't like the fact that his second unit director and screenplay writer, Alison(..played by Dahlia Salem)seem to be taking over the production."
5,"Return to Cabin by the Lake just.... was lacking. It must have had a very low budget because a fair amount of the movie must have been filmed with a regular video camera. So, within the same scene - you'll have some movie-quality camera shots AND simple video camera shots."
6,"This movie was made-for-TV, so taking that into account, I'm not going to rip into it as hard as I would a feature film. The script is sub-par, but it does succeed in being mildly humorous in spots, whether it means to be or not. The acting is mostly over-the-top, but that is true for many lower-budget movies."
7,"IF you are planning to see this movie, please reconsider. I don't usually post my comments about something I've seen on television, but this one was such a waste of my life that I needed to do something productive to get that bad taste out of my mouth. Critiquing this movie would take far too long as there are so many things wrong with it."
8, I saw this on the Sci-Fi channel. It came on right after the first one. For some reason this movie kept me interested.
9,"I watched Cabin by the Lake this afternoon on USA. Considering this movie was made for TV is was interesting enough to watch the sequel. So, I tune in for the airing this evening and was extremely disappointed."
10,*Possible Spoiler* 'Return to Cabin by the Lake' is a useless movie. The acting was not good and the plot wasn't even remotely interesting. 'Cabin by the Lake' is a good TV movie.
11,"A decent sequel, but does not pack the punch of the original. A murderous screenwriter(Judd Nelson)assumes new identities in order to direct his own novel CABIN BY THE LAKE. Still ruthless killing, but movie seems very tongue-in-cheek."
12,"Return to Cabin by the Lake does not, in any way, stand up to the original. With only one main character (Stanley) returning for the sequal, the film is not even worth the 2 hours of your time. I am a huge fan of the first film, the story line and acting was really good, but this is one movie that I will never again watch."
13,"I thought Hedy Burress (who managed to escape from the watery grave of part one) was going to be in part 2 Guess not. I just think they should of killed her off like in Friday The 13th Part 2 (you know what I mean). This movie like Scream 3, and Urban Legend 2 followed movies within a movie."
14,"Viewers gushing over everything including the title sequence (now THAT is funny) would have us believe this is some sort of cinematic miracle, but, trust me folks, this is one of the most embarrassingly bad films you could ever see, and if you're not laughing at it five minutes in, I'd say you've lost your sense of humor. David Niven plays a doomed and bravado-besotted RAF pilot who somehow thinks it appropriate to engage an impressionable (female) air traffic controller in an emotional conversation about love, just as he's plunging to his certain and fiery death. (Isn't it romantic...) Of course, he's spared by a quirk of metaphysical chance, and washes up on the beach, just as this same air traffic controller is riding by on her bicycle."
15,"I saw this movie recently because a friend brought it with him from NYC. After 30 minutes, I said to him,"" You've got to be kidding. Is this some sort of joke?"""
16,"Despite a decent first season this series never came close to realizing its potential. Set as a prequel to the original ""Star Trek"" series it was doomed almost from the start by an executive producer, Rick Berman, who felt compelled to artificially limit and constrict the definition of what a ""Star Trek"" series could be (which made this futuristic show increasingly anachronistic from a dramatic standpoint). The actual show-runner, Brannon Braga, didn't help matters by his uninspired and tired rehashing of previous Trek episodes and careless disregard of the franchise's internal mythology (it was painfully obvious early on that he was in it only for the paycheck)."
17,"Anybody who has ever been a fan of the original series, or even has a clue about the storyline should be embarrassed by this series. The Borg does not come around until Q brings the Enterprise to the Gamma sector, the Klingons are NEVER seen until Kirk encounters them, the NCC-1701 was the FIRST ship to carry the Enterprise name....need I go on? Berman and Pilliar have made a mockery of Gene Roddenberry's creation."
